id,comment,comment_ko
22194,"Fresh, light, and delicate scent",산뜻하고 가볍고 섬세한 향
22195,Lovely old-school floral bouquet,사랑스러운 옛날 스타일의 꽃다발
22196,Understated and natural fragrance,은은하고 자연스러운 향
22197,Potent and beautiful floral fragrance,강렬하고 아름다운 꽃향기
22198,Nice powdery orris-sandalwood drydown,은은한 파우더리한 아이리스와 샌달우드 향으로 마무리되는 멋진 잔향입니다.
22199,Superb longevity,탁월한 장수
22200,Strictly for violet lovers,보라색을 사랑하는 사람들을 위한 제품입니다.
22201,Luxurious and posh scent,고급스럽고 세련된 향
22202,Complex and multidimensional fragrance,복합적이고 다차원적인 향
22203,Incomparably beautiful and sensuous,비교할 수 없을 만큼 아름답고 관능적입니다.
22204,Perfect for special occasions,특별한 날에 딱 맞는 선물
22205,Great longevity,훌륭한 장수
22206,Mesmerizes men,남자들을 매혹시킨다
22207,Suitable for a mature audience,성인 관람가
22208,Truly feline and sleek,정말 고양이 같고 매끈하네요.
22209,Highest quality ingredients,최상급 재료
22210,Contemporary and classic scent,현대적이면서도 고전적인 향
22211,Stunning neroli note,놀라운 네롤리 향
22212,Safely unisex,안전하게 남녀 공용
22213,Perfect for citrus lovers,감귤류를 좋아하는 사람들에게 딱입니다
22214,"Light, green, floral scent",가볍고 싱그러운 꽃향기
22215,Amazingly fizzy lemon and aldehyde combination,놀랍도록 톡 쏘는 레몬과 알데히드의 조합
22216,Exquisite base note of warm musk and iris,따뜻한 머스크와 아이리스의 섬세한 베이스 노트
22217,Nicolai Parfumeur Createur,니콜라이 향수 제조사
22218,Buy this fragrance atLuckyScent,LuckyScent에서 이 향수를 구매하세요.
22219,Interesting and complex fragrance,흥미롭고 복합적인 향
22220,Exquisite and refined,정교하고 세련된
22221,Can be worn day or night,낮이나 밤에 착용 가능
22222,High quality ingredients used,고품질 재료 사용
22223,Solid and fascinating,견고하고 매력적입니다
22224,Long lasting,오래 지속되는
22225,Expensive and classy scent,고급스럽고 세련된 향
22226,Effortlessly chic and elegant,꾸민 듯 안 꾸민 듯 시크하고 우아함
22227,Flawless masterpiece,흠잡을 데 없는 명작
22228,Powdery iris and ylang-ylang notes,파우더리한 아이리스와 일랑일랑 향
22229,Retro in a good way,좋은 의미의 레트로
22230,Perfectly balanced fragrance,완벽하게 균형 잡힌 향
22231,Good for night-time wear,밤에 착용하기 좋습니다
22232,Green patchouli enhances peppery-citrus,그린 파출리는 후추와 감귤 향을 더욱 풍부하게 해줍니다.
22233,Yves Rocher,이브 로셰
22234,Quiet fragrance suitable for intimate settings,은은한 향으로 아늑한 분위기에 어울립니다.
22235,Crisp and fresh ginger notes,상큼하고 신선한 생강 향
22236,Unique and familiar scent,독특하면서도 친숙한 향
22237,Fresh and clean with powdery undertones,산뜻하고 깨끗하며 파우더리한 느낌이 은은하게 감돈다.
22238,Warm and woody undertones,따뜻하고 우디한 느낌
22239,Pleasant and even in effect,쾌적하고 효과적입니다
22240,Subtle and lovely intimacy,은은하고 사랑스러운 친밀함
22241,Lovely balance of floral and fruity notes,꽃향과 과일향이 아름답게 조화를 이룹니다.
22242,Suitable for daily use and different occasions,일상생활 및 다양한 상황에 적합합니다.
22243,Fresh and feminine fragrance,산뜻하고 여성스러운 향
22244,Elegant everyday feminine scent,우아하고 데일리로 즐기기 좋은 여성스러운 향
22245,Not a typical exotic suntan lotion scent,흔히 볼 수 있는 이국적인 선탠 로션 향이 아닙니다.
22246,Decent longevity and complexity,적당한 지속성과 복잡성
22247,Packaging and marketing are appealing,포장과 마케팅이 매력적입니다.
22248,Reminds of a florist shop with fresh flowers,싱싱한 꽃으로 가득한 꽃집이 생각난다.
22249,"Opulent floral heart with iris, rose, and sandalwood","아이리스, 로즈, 샌달우드가 어우러진 풍성한 플로럴 향"
22250,Mysterious and interesting fragrance,신비롭고 흥미로운 향기
22251,Long-lasting fragrance,오래 지속되는 향기
22252,Suitable for nighttime occasions,야간 행사에 적합합니다.
22253,Great for women who want to be in the center of attention,주목받고 싶어하는 여성분들에게 안성맞춤입니다.
22254,"Warm, elegant, and deep aroma",따뜻하고 우아하며 깊은 향
22255,Intensely fragrant dark berries give it a feminine touch,강렬한 향을 지닌 검은 베리류 과일이 여성스러운 느낌을 더해줍니다.
22256,Sophisticated and alluring scent,세련되고 매혹적인 향
22257,Cafe Parfums,카페 퍼퓸
22258,Spicy fall scent,매콤한 가을 향기
22259,Lasting scent,오래 지속되는 향기
22260,Lighter version of Opium,아편의 순한 버전
22261,Well-blended,잘 섞인
22262,Suitable for modern environments,현대적인 환경에 적합합니다.
22263,Similar to expensive perfumes,값비싼 향수와 비슷합니다.
22264,Good ingredients,좋은 재료
22265,Next level perfumery for gourmand lovers,미식가를 위한 한 차원 높은 향수
22266,Gorgeous and beautiful fragrance,화려하고 아름다운 향기
22267,Incomparable to similar fragrances,다른 유사 향수와는 비교할 수 없을 정도로 훌륭합니다.
22268,Suitable for cold weather,추운 날씨에 적합합니다
22269,Refined sweetness of patisserie accord,페이스트리 향의 세련된 단맛
22270,Opens up notes like a kaleidoscope with proper technique,올바른 연주 기법을 사용하면 마치 만화경처럼 다채로운 음색을 펼쳐낼 수 있습니다.
22271,Unique and masterful use of oud,오우드를 독창적이고 탁월하게 사용한 작품
22272,Blends candy sweet and sweet floral scents,달콤한 사탕 향과 은은한 꽃 향이 조화롭게 어우러진 향입니다.
22273,Buy Montale atLuckyScent,럭키센트에서 몽탈레를 구매하세요
22274,Great for summer and outdoor activities,여름철 야외 활동에 안성맞춤입니다.
22275,Leans feminine but can be worn by men,여성스러운 느낌이 강하지만 남성도 착용할 수 있습니다.
22276,Elevates mood in summer weather,여름 날씨에 기분을 좋게 해줍니다
22277,Longevity of around 12 hours,지속 시간은 약 12시간입니다.
22278,Complexity keeps you captivated for hours,복잡한 구성 덕분에 몇 시간이고 몰입하게 됩니다.
22279,Projects like crazy and lasts forever on skin,엄청난 효과를 내고 피부에 오래도록 지속됩니다.
22280,Sillage creates a heavenly scent bubble,잔향은 천상의 향기 거품을 만들어냅니다.
22281,Viktor&Rolf,빅터앤롤프
22282,Crisp and fresh scent,상쾌하고 산뜻한 향
22283,Nice burst of herbal and floral notes,허브와 꽃 향이 기분 좋게 어우러지는 향긋한 향입니다.
22284,Great for spring season,봄철에 사용하기 좋습니다
22285,Enjoyable and lingering fragrance,즐겁고 오래 지속되는 향기
22286,Good layering potential,레이어링하기에 좋은 잠재력
22287,Ethereal and intoxicating fragrance,신비롭고 매혹적인 향기
22288,Bright and watery floral scent,밝고 산뜻한 꽃향기
22289,Long lasting,오래 지속되는
22290,Good quality,양질
22291,Woody and elegant scent,우디하고 우아한 향
22292,Sweet and woody notes,달콤하고 우디한 향
22293,"Fresh opening with a warm, oriental dry down",산뜻한 오프닝에 따뜻하고 동양적인 잔향이 더해집니다.
22294,Expensive and sexy scent,고급스럽고 섹시한 향
22295,Gold bracelet like perfume,향수처럼 달콤한 금팔찌
22296,Floral notes make for a romantic mood,꽃향기는 로맨틱한 분위기를 자아냅니다.
22297,Acqua di Parma,아쿠아 디 파르마
22298,Perfect for summer,여름에 딱 좋아요
22299,Amazing opening,놀라운 오프닝
22300,Refreshing on a hot day,더운 날에 시원하게 즐기기
22301,Well-balanced bitterness and citrus,쓴맛과 감귤류의 균형이 잘 잡혀 있습니다.
22302,Classy and nostalgic,고급스럽고 향수를 불러일으키는
22303,Suitable for both masculine and feminine wearers,남녀 모두에게 적합합니다
22304,Realistic chinotto note,사실적인 치노토 노트
22305,Great value for money,가격 대비 훌륭한 가치
22306,"Nice, sweet, fruity and youthful","좋고, 달콤하고, 과일향이 나며, 젊은 감각의"
22307,Good for beginners and teenagers,초보자와 청소년에게 좋습니다
22308,Similar to Invictus,인빅투스와 유사함
22309,Suitable for any age,모든 연령대에 적합합니다
22310,Top notes of Invictus are present,인빅투스의 탑 노트가 느껴집니다.
22311,Can be worn all year round,사계절 내내 착용 가능합니다
22312,Good longevity and projection,뛰어난 지속성과 전망
22313,Buy Mancera atLuckyScent,LuckyScent에서 Mancera를 구매하세요
22314,Unique and complex scent,독특하고 복합적인 향
22315,"Warm, deep, and exotic",따뜻하고 깊고 이국적인
22316,Great balance of green-woody and spicy-balsamic accords,녹색 나무 향과 매콤한 발사믹 향이 훌륭하게 균형을 이루고 있습니다.
22317,"Classy, elegant, and unique","고급스럽고, 우아하며, 독특합니다."
22318,Good for cool/cold weather,서늘하거나 추운 날씨에 좋습니다
22319,Unusually fresh and versatile,매우 신선하고 다재다능합니다.
22320,Adaptable brand of Mancera,적응력이 뛰어난 만세라 브랜드
22321,Lacoste Fragrances,라코스테 향수
22322,Good for office or casual wear,사무실이나 캐주얼 복장에 잘 어울립니다.
22323,Great for everyday use,일상적으로 사용하기에 좋습니다
22324,Fresh and clean scent,산뜻하고 깨끗한 향
22325,Well blended and elegant fragrance,조화롭고 우아한 향
22326,Pleasant and inoffensive,쾌적하고 불쾌감을 주지 않는
22327,Soft base notes,부드러운 베이스 노트
22328,Suitable for all seasons,모든 계절에 적합합니다
22329,Very sensual and seductive,매우 관능적이고 유혹적이다
22330,"Warm, sweet, and inviting",따뜻하고 달콤하며 매력적인
22331,Well blended and unique,조화롭고 독특함
22332,Sensual oriental gourmand,관능적인 동양의 구르망
22333,Nice vanilla scent with a cool vibe,시원한 느낌의 은은한 바닐라 향
22334,Great for date nights,데이트하기에 딱 좋아요
22335,Modern-classy and leaning towards romantic,모던하고 고급스러우며 로맨틱한 분위기를 풍깁니다.
22336,Perfect for romance,로맨틱한 분위기에 딱 좋아요
22337,Luxurious and charming,고급스럽고 매력적인
22338,Suitable for fall and winter,가을과 겨울에 적합합니다.
22339,Balanced notes,균형 잡힌 음표
22340,Longevity and sillage are impressive,지속력과 확산력이 인상적입니다.
22341,Sensual and clean,관능적이면서도 깨끗함
22342,Perfect for evening/night occasions,저녁이나 밤 모임에 안성맞춤입니다.
22343,Edgy and exquisite,개성 넘치면서도 세련된
22344,Perplexing and unique scent,당혹스럽고 독특한 향기
22345,Great performance and long-lasting,뛰어난 성능과 긴 수명
22346,Well-balanced and not too sweet,맛의 균형이 잘 잡혀 있고 너무 달지 않아요.
22347,Classic oud-rose combination is made drier and more austere,클래식한 오우드-장미 조합을 더욱 드라이하고 절제된 느낌으로 재해석했습니다.
22348,Masculine scent that can also be worn by women,남성적인 향이지만 여성도 사용할 수 있습니다.
22349,Velvety violet accent adds a plush and soft touch,벨벳처럼 부드러운 보라색 포인트가 포근하고 포근한 느낌을 더해줍니다.
22350,Vague fruity sweetness balances out the notes,은은한 과일향의 단맛이 전체적인 맛의 균형을 잡아줍니다.
22351,Considered the best oud fragrance by one reviewer,한 평론가는 이 향수를 최고의 오우드 향수로 꼽았습니다.
22352,Unisex fragrance that smells great on anyone,누구에게나 잘 어울리는 남녀 공용 향수입니다.
22353,Giorgio Armani,조르지오 아르마니
22354,Beautiful fragrance,아름다운 향기
22355,Suitable for daily wear,일상복으로 적합합니다
22356,Fresh and clean scent,산뜻하고 깨끗한 향
22357,Long-lasting,오래 지속되는
22358,Decent sillage,향의 확산력이 괜찮음
22359,Unisex fragrance,남녀 공용 향수
22360,Soft woody dry down,부드러운 우디 향으로 마무리됩니다.
22361,Fragram Photos,프래그램 사진
22362,Perfume Pyramid,향수 피라미드
22363,Designer Phebo,디자이너 페보
22364,Isolda Cajueiro,이솔다 카주에이로
22365,Lichia e Pimenta,리치아와 피멘타
22366,Isolda Flor de Cajueiro,이솔다 플로르 데 카주에이로
22367,Belo Pomelo,벨로 포멜로
22368,Coco da Bahia,코코 다 바이아
22369,Dolce&Gabbana,돌체앤가바나
22370,Fragram Photos,프래그램 사진
22371,Perfume Pyramid,향수 피라미드
22372,Designer Dolce&Gabbana,디자이너 돌체앤가바나
22373,The One for Men Eau de Parfum,더 원 포 맨 오 드 퍼퓸
22374,Devotion Intense,열정적인 헌신
22375,The One for Men,남자를 위한 하나
22376,D&G Anthology L'Imperatrice 3,D&amp;G 앤솔로지 L&#39;Imperatrice 3
22377,Tiziana Terenzi,티지아나 테렌지
22378,Buy Tiziana Terenzi atLuckyScent,LuckyScent에서 Tiziana Terenzi 구매
22379,Good smell for a nice perfume,좋은 향수에 어울리는 좋은 향
22380,Smooth and sweet opening,부드럽고 달콤한 시작
22381,Realistic quality citruses,사실적인 품질의 감귤류
22382,Long lasting scent,향기가 오래 지속됩니다
22383,"Stronger than similar fragrances, according to personal taste",개인 취향에 따라 비슷한 향보다 향이 더 강하다고 느낄 수 있습니다.
22384,"Smoother than similar fragrances, according to personal taste",개인 취향에 따라 비슷한 향수들보다 더 부드러운 향입니다.
22385,Ethereal yet energetic,신비로우면서도 활기 넘치는
22386,Fresher and lighter than the original Addict,기존 애딕트보다 더 산뜻하고 가볍습니다.
22387,Sexy and wearable,섹시하면서도 입기 편한
22388,Perfect for warmer days,따뜻한 날씨에 딱 좋아요
22389,"Contains favorite notes like jasmine, rose, and tonka","자스민, 장미, 통카빈과 같은 인기 있는 향이 함유되어 있습니다."
22390,Balmy and comforting,온화하고 편안한
22391,Fresh and citrusy,신선하고 시트러스 향이 나는
22392,Lasts all day with great sillage,하루 종일 지속되며 확산력도 뛰어납니다.
22393,Masculine and fresh,남성적이고 신선한
22394,Great blind buy,훌륭한 블라인드 구매
22395,"Bold, sharp citrus and wood opening",강렬하고 날카로운 시트러스 향과 나무 향으로 시작됩니다.
22396,Aromatic and woodsy notes are almost perfect,향긋하고 우디한 향은 거의 완벽합니다.
22397,Good for cooler weather,서늘한 날씨에 좋습니다
22398,Good for going out/clubbing,외출이나 클럽에 가기 좋아요
22399,Strong sillage,강한 잔향
22400,Lasts 8-10 hours,8~10시간 지속됩니다.
22401,Giorgio Armani,조르지오 아르마니
22402,Considered a work of true genius and beauty,진정한 천재성과 아름다움의 작품으로 여겨진다.
22403,Classy and individualistic,세련되고 개성적인
22404,Gorgeous chypre that is warm and not scary,따뜻하면서도 부담스럽지 않은 아름다운 시프레 향수입니다.
22405,Strangely natural despite many components,여러 요소가 있음에도 불구하고 이상하리만치 자연스럽다
22406,Highly recommended,적극 추천합니다
22407,Sexy and elegant,섹시하고 우아함
22408,"Warm, chilly, minty, animalic, salty, and lush","따뜻함, 시원함, 민트향, 동물적인 향, 짠맛, 그리고 풍성함"
22409,Spicy opening,매콤한 오프닝
22410,Beautiful blend,아름다운 조화
22411,Interesting woody development,흥미로운 목본 발달 과정
22412,Long-lasting scent,오래 지속되는 향기
22413,Floral notes add complexity,꽃향기가 복합적인 풍미를 더합니다.
22414,Not overly bold or challenging,지나치게 대담하거나 도전적이지 않음
22415,Suitable for multiple occasions,다양한 상황에 적합합니다
22416,Unisex fragrance,남녀 공용 향수
22417,"Elegant, decent and refined",우아하고 품위 있고 세련된
22418,This fragrance is complex and textured,이 향수는 복합적이고 풍부한 질감을 지니고 있습니다.
22419,Utterly unique and constantly alluring,완전히 독특하고 끊임없이 매혹적입니다
22420,Can easily be worn by a woman,여성이 부담 없이 착용할 수 있습니다.
22421,"Sensual, nice and bold without being too loud","관능적이면서도 매력적이고, 지나치게 요란하지 않으면서도 대담한 느낌"
22422,Brimming with natural ingredients,천연 성분으로 가득
22423,Top Sisley quality,최고급 시슬리 품질
22424,Great contrast of notes,음색의 훌륭한 대비
22425,Great for summertime,여름에 딱 좋아요
22426,Fresh and delicate scent,신선하고 은은한 향
22427,Unique and soft fragrance,독특하고 은은한 향
22428,Balances sweetness and quiet contemplation,달콤함과 고요한 사색의 균형을 이룬다
22429,Ideal for green tea lovers,녹차 애호가에게 이상적입니다.
22430,"Long-lasting with a sensual, flirty vibe",관능적이고 매혹적인 분위기를 오래 지속시켜 줍니다.
22431,"Warm, floral, and relaxing scent",따뜻하고 은은한 꽃향기와 함께 편안한 느낌을 주는 향입니다.
22432,Lively and elegant youthful fragrance,활기차고 우아하며 젊은 감각의 향수
22433,"Beautiful, feminine and powdery scent",아름답고 여성스러우며 파우더리한 향
22434,Quintessence of femininity,여성성의 정수
22435,Very powerful,매우 강력함
22436,Interesting,흥미로운
22437,Peonia and peach in pole position,모란과 복숭아가 1위를 차지했습니다.
22438,Longevity and sillage,지속력과 확산력
22439,Tons of compliments from men,남자들에게 칭찬을 많이 받았어요
22440,Creamy vanilla coffee with hints of powder,크리미한 바닐라 커피에 은은한 파우더 향이 더해졌습니다.
22441,Good for summer,여름에 좋아요
22442,Refreshing aquatic scent,상쾌한 물 향기
22443,Soft and natural fragrance,은은하고 자연스러운 향
22444,Fresh and crisp smell,신선하고 상쾌한 향
22445,Develops well on skin,피부에 잘 발립니다
22446,Great for signature scent,시그니처 향을 내기에 아주 좋습니다.
22447,Long-lasting on skin,피부에 오래 지속됩니다
22448,Good cure for headaches,두통에 좋은 치료법
22449,Buy Electimuss atLuckyScent,LuckyScent에서 Electimuss를 구매하세요
22450,Amazing vanilla dry down,놀라운 바닐라 향의 잔향
22451,Great fragrance combination,훌륭한 향기 조합
22452,Phenomenal performance,경이로운 성능
22453,Full bottle worthy,풀보틀 구매 가치 있음
22454,Excellent value compared to Aventus,아벤투스에 비해 가격 대비 성능이 뛰어납니다.
22455,"Brighter, more citrus and more Vanilla","더 밝고, 시트러스 향이 더 강하며, 바닐라 향도 더 풍부합니다."
22456,Complex scent profile with spiciness and florals,매콤함과 꽃향기가 어우러진 복합적인 향 프로필
22457,Uplifting and sunny fragrance,기분 좋고 햇살 같은 향기
22458,Easy to like and wear,마음에 들고 입기 편해요
22459,Fresh and airy scent,산뜻하고 가벼운 향
22460,Clean orange blossom scent,깨끗하고 산뜻한 오렌지꽃 향
22461,Great for spring and start of summer,봄과 초여름에 딱 좋아요
22462,Comparable to expensive sun cream,고가의 선크림과 유사함
22463,Close dupe for discontinued perfumes,단종된 향수와 매우 유사한 제품
22464,Less woody and more floral,나무 향보다는 꽃 향이 더 강하다
22465,Jesus Del Pozo,헤수스 델 포조
22466,Well-balanced blend of notes,균형 잡힌 향의 조화
22467,Fresh and citrusy scent,상큼하고 시트러스 향이 나는
22468,Inoffensive and mild,무해하고 온화함
22469,Suitable for everyday wear,일상복으로 적합합니다
22470,Can be worn in summer heat,여름철 더위에도 착용 가능합니다.
22471,Clean and shower-fresh feeling,깨끗하고 방금 샤워한 듯한 상쾌한 느낌
22472,Long-lasting fragrance,오래 지속되는 향기
22473,High class and elegant,고급스럽고 우아함
22474,Beautifully masculine fragrance,아름답고 남성적인 향수
22475,Good quality,양질
22476,Warm and comforting,따뜻하고 편안한
22477,Carefully crafted scent,정성스럽게 만들어진 향
22478,Subtle and understated,은은하고 절제된
22479,Good for office and daily wear,사무실 및 일상복으로 적합합니다.
22480,Ideal for mature and recollected scent preference,성숙하고 세련된 향을 선호하는 분들에게 이상적입니다.
22481,Jean Paul Gaultier,장 폴 고티에
22482,Gorgeous bottle design,아름다운 병 디자인
22483,Nice collectors item,훌륭한 소장품입니다
22484,Fresh and floral scent,신선하고 은은한 꽃향기
22485,Good sillage,향의 확산력이 좋습니다.
22486,Suitable for warm weather,따뜻한 날씨에 적합합니다
22487,Wonderful tropical vanilla scent,환상적인 열대 바닐라 향
22488,Long-lasting fragrance,오래 지속되는 향기
22489,Fruity and creamy scent,과일향과 크리미한 향
22490,Great for summer,여름에 딱 좋아요
22491,Magnificent rose note,훌륭한 장미 향
22492,Simple and nice bottle design,심플하고 예쁜 병 디자인
22493,Fresh and uplifting fragrance,상쾌하고 기분 좋은 향기
22494,Suitable for everyday use,일상적으로 사용하기에 적합합니다.
22495,Uplifting and perfect for summer,기분 전환에 좋고 여름에 딱이에요
22496,Compliments from others,타인으로부터의 칭찬
22497,Lolita Lempicka,롤리타 렘피카
22498,Impressive bottle design,인상적인 병 디자인
22499,Long-lasting scent,오래 지속되는 향기
22500,Evocative sultry air of mystery,관능적이고 신비로운 분위기
22501,"Strong licorice root, benzoin and myrrh notes","강렬한 감초 뿌리, 벤조인, 몰약 향"
22502,Ideal for winter evening wear,겨울 저녁 외출에 이상적입니다.
22503,Whimsical and full of fantasy bottle design,기발하고 환상적인 병 디자인
22504,Good staying power on fabric,원단에 잘 붙는 접착력이 좋습니다.
22505,Buy Goutal atLuckyScent,럭키센트에서 구탈을 구매하세요
22506,Charming and soothing floral bouquet,매력적이고 마음을 편안하게 해주는 꽃다발
22507,"Fresh, fruity opening",신선하고 과일향이 나는 오프닝
22508,Natural quality of the fruity notes,과일 향의 자연스러운 품질
22509,Moderate to soft sillage,중간 정도에서 약한 확산력
22510,Classy and sophisticated,고급스럽고 세련된
22511,"Elegant, warm, and velvety",우아하고 따뜻하며 벨벳처럼 부드럽습니다.
22512,Unusual fruity floral,독특한 과일향과 꽃향이 어우러진 향
22513,Delicate perfume with pleasant rose scent,은은하고 기분 좋은 장미향이 나는 향수
22514,Pleasant aroma,기분 좋은 향기
22515,Modern and sophisticated fragrance,현대적이고 세련된 향수
22516,Delicious fruity floral scent,맛있고 과일향과 꽃향이 어우러진 향기
22517,Brilliant luminous raspberry rose opening,눈부시게 빛나는 라즈베리 로즈 향으로 시작됩니다.
22518,Mild intensity,약한 강도
22519,Silky smooth rich bouquet,실크처럼 부드럽고 풍성한 꽃다발
22520,Beautiful departure from traditional Roja Dove aesthetic,전통적인 로하 도브 미학에서 벗어난 아름다운 변화입니다.
22521,Roberto Cavalli,로베르토 카발리
22522,"Well-integrated notes of hazelnut, leather, marshmallow, rosewood, and florals","헤이즐넛, 가죽, 마시멜로, 로즈우드, 꽃향기가 조화롭게 어우러진 향"
22523,Unique and mature gourmand scent,독특하고 성숙한 구르망 향
22524,Warm and elegant quality from the leather note,가죽에서 느껴지는 따뜻하고 우아한 품질
22525,Beautifully crafted with harmonious blend of gourmand and powdery notes,달콤한 향과 파우더리한 향이 조화롭게 어우러진 아름다운 향수입니다.
22526,Suitable for feminine use during evenings and nights,저녁과 밤에 여성분들이 사용하기에 적합합니다.
22527,Long-lasting longevity,오래 지속되는 장수
22528,Pleasant and noticeable for casual wear,캐주얼 웨어에 잘 어울리고 눈에 띄는 디자인입니다.
22529,Strong masculine scent,강렬한 남성적인 향
22530,Solid performance,뛰어난 성능
22531,Versatile for this kind of scent,이런 향에 다용도로 활용 가능
22532,Dark and manly fragrance,어둡고 남성적인 향
22533,Great for fall and winter,가을과 겨울에 사용하기 좋습니다
22534,"Spicy, citrusy, and fresh opening","매콤하고, 시트러스 향이 나며, 신선한 오프닝"
22535,Similar to Dior Sauvage Elixir,디올 소바쥬 엘릭서와 유사함
22536,Soft dose of sweetness with florals in the drydown,은은한 단맛과 잔향에 꽃향기가 더해집니다.
22537,Extremely strong and long-lasting scent,매우 강렬하고 오래 지속되는 향
22538,Blend of rose and oud is wonderful,장미와 오우드의 조화는 정말 훌륭합니다.
22539,Bold and assertive fragrance,대담하고 당당한 향
22540,Suitable for unisex wear,남녀 공용으로 착용 가능합니다.
22541,Gorgeous sweet oriental feel,화려하고 달콤한 동양적인 느낌
22542,"Complex and unique composition of oud wood, honey, saffron, rose, and musk","오우드 나무, 꿀, 사프란, 장미, 머스크가 복합적이고 독특하게 어우러진 향"
22543,Layers exceptionally well,레이어링이 아주 잘 됩니다
22544,Smoky and sharp masculine scent,스모키하고 강렬한 남성적인 향
22545,O Botic횄징rio,오 보티카리오
22546,Smooth and creamy,부드럽고 크리미한
22547,Balanced masculine edge,균형 잡힌 남성미
22548,Prominent coffee note,커피 향이 두드러짐
22549,Comforting on cold days,추운 날에 따뜻함을 더해줍니다
22550,Hints of lavender for freshness,싱그러움을 더하는 라벤더 향
22551,Long-lasting longevity,오래 지속되는 장수
22552,Affordable price,합리적인 가격
22553,Bottle design is unique and interesting,병 디자인이 독특하고 흥미롭습니다.
22554,Perfectly shareable fragrance,함께 나누기 딱 좋은 향수
22555,Considered more masculine than feminine,여성적인 것보다 남성적인 것으로 여겨진다
22556,Good as a fresh warm skin scent after a day at the beach,해변에서 하루를 보낸 후 피부에 은은하게 남는 따뜻한 향으로 좋습니다.
22557,Similar to Carolina Herrera's Chic,캐롤리나 헤레라의 시크함과 비슷하게
22558,"Contains notes of lemon, bergamot, Mandarin orange and peach accord","레몬, 베르가못, 만다린 오렌지, 복숭아 향이 어우러져 있습니다."
22559,Fruity and fresh after 10 minutes,10분 후면 과일향과 상큼한 맛이 납니다.
22560,Sophisticated and light,세련되고 가벼움
22561,Buy By Kilian atLuckyScent,LuckyScent에서 Kilian 제품을 구매하세요.
22562,"Fresh, clean, and green jasmine",신선하고 깨끗하며 푸른 자스민
22563,Luminous and radiant jasmine soliflore,빛나고 화려한 자스민 솔리플로어
22564,Silky with lotion-like nuance of ylang ylang and tuberose,실키한 질감에 로션처럼 부드러운 일랑일랑과 튜베로즈 향이 은은하게 감돕니다.
22565,Feminine and elegant,여성스럽고 우아함
22566,Massive sillage that fills two rooms,두 개의 방을 가득 채우는 엄청난 잔향
22567,Long-lasting,오래 지속되는
22568,Outdoorsy vibe with water-like coolness,물처럼 시원하면서도 야외 분위기가 물씬 풍긴다
22569,Beautiful and remarkable bottle design,아름답고 뛰어난 병 디자인
22570,Affordable and easy to access brand,합리적인 가격에 쉽게 접근할 수 있는 브랜드
22571,"Elegant, sophisticated, and magical fragrance",우아하고 세련되며 마법 같은 향기
22572,Soft and elegant perfume with a long-lasting scent,부드럽고 우아하며 향이 오래 지속되는 향수입니다.
22573,Soft and long-lasting,부드럽고 오래 지속됩니다
22574,Sparkly and bubbly opening,반짝이고 활기 넘치는 오프닝
22575,Powdery and woody dry down,파우더리하고 우디한 잔향이 남습니다.
22576,Sentimental value for some users,일부 사용자에게는 감정적인 가치
22577,Issey Miyake,이세이 미야케
22578,"Clean, green, and flowery","깨끗하고, 푸르고, 꽃이 만발한"
22579,Elegant and refreshing,우아하고 산뜻한
22580,EDT strength with EDP sillage and longevity,EDT의 강렬한 향과 EDP의 확산력 및 지속력을 모두 갖춘 제품입니다.
22581,Great for summer use,여름철에 사용하기 좋습니다
22582,Fresh and feminine,산뜻하고 여성스러운
22583,"Suitable for modern romantics, reckless daydreamers and blind optimists","현대 낭만주의자, 무모한 몽상가, 그리고 맹목적인 낙관주의자에게 적합합니다."
22584,A triumph of rose and neroli on a bed of musk,머스크 향을 바탕으로 장미와 네롤리가 어우러진 승리
22585,Buy Amouage atLuckyScent,LuckyScent에서 Amouage 제품을 구매하세요.
22586,Longevity is huge,장수란 엄청난 일입니다.
22587,Beasty scent with jasmine and ylangylang,자스민과 일랑일랑이 어우러진 야성적인 향
22588,Retro floral composition,레트로풍 꽃무늬 구성
22589,Potent and long-lasting,강력하고 오래 지속됩니다
22590,Unique and original scent,독특하고 독창적인 향
22591,Nods to classic fragrances like Fracas Piguet,프라카스 피게와 같은 클래식 향수에 대한 오마주
22592,Powdery and sweet notes,파우더리하고 달콤한 향
22593,Alfred Dunhill,알프레드 던힐
22594,Unique bottle design,독특한 병 디자인
22595,No sweetness for those who prefer it,단맛을 싫어하는 분들을 위해 단맛을 넣지 않았습니다.
22596,"Opulent scent with a darker, cooler vibe",더욱 어둡고 차가운 분위기를 자아내는 고급스러운 향
22597,"Dark, heavy, woody scent",어둡고 묵직한 나무 향
22598,Good sandalwood and suede base,좋은 샌달우드와 스웨이드 베이스
22599,"Pleasant, soft blend of citrus, woody and spicy accords","상큼한 시트러스, 우디, 스파이시한 향이 조화롭게 어우러진 기분 좋은 향입니다."
22600,Excellent mix of cardamom and woody notes,카다멈과 우디 노트가 훌륭하게 조화를 이룬다
22601,Penhaligon's,펜할리곤스
22602,Buy Penhaligon's atLuckyScent,LuckyScent에서 Penhaligon&#39;s 제품을 구매하세요.
22603,Opulent and arresting scent,화려하고 매혹적인 향기
22604,Classic and appealing oriental fragrance,클래식하면서도 매력적인 동양 향수
22605,Triumphant and glamorous fragrance,승리감 넘치고 매혹적인 향기
